Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0004,
Horizontal Delay,0.0002508,
Sample Interval,4e-07,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.7492e-03,4.93344,0.201406
-1.7488e-03,4.91969,0.19925
-1.7484e-03,4.93094,0.199875
-1.7480e-03,4.89906,0.200063
-1.7476e-03,4.93344,0.200828
-1.7472e-03,4.86344,0.199172
-1.7468e-03,4.87312,0.199594
-1.7464e-03,4.89187,0.198203
-1.7460e-03,4.83938,0.198891
-1.7456e-03,4.83781,0.199984
-1.7452e-03,4.85719,0.199734
-1.7448e-03,4.835,0.197828
-1.7444e-03,4.84406,0.197922
-1.7440e-03,4.82094,0.198219
-1.7436e-03,4.79344,0.198656
-1.7432e-03,4.8175,0.196688
-1.7428e-03,4.78469,0.19675
-1.7424e-03,4.78219,0.196438
-1.7420e-03,4.76313,0.196125
-1.7416e-03,4.79219,0.197547
-1.7412e-03,4.75094,0.195891
-1.7408e-03,4.75563,0.193906
-1.7404e-03,4.7575,0.195062
-1.7400e-03,4.74594,0.194969
-1.7396e-03,4.74344,0.193453
-1.7392e-03,4.72219,0.194531
-1.7388e-03,4.7275,0.193297
-1.7384e-03,4.70469,0.193781
-1.7380e-03,4.69281,0.193141
-1.7376e-03,4.69688,0.191344
-1.7372e-03,4.695,0.19225
-1.7368e-03,4.68969,0.193281
-1.7364e-03,4.67031,0.191078
-1.7360e-03,4.66938,0.190891
-1.7356e-03,4.65813,0.192703
-1.7352e-03,4.66,0.188672
-1.7348e-03,4.62656,0.189781
-1.7344e-03,4.63063,0.190594
-1.7340e-03,4.6,0.188672
-1.7336e-03,4.62344,0.189844
-1.7332e-03,4.60219,0.188734
-1.7328e-03,4.60187,0.189406
-1.7324e-03,4.59781,0.187953
-1.7320e-03,4.58188,0.18625
-1.7316e-03,4.57375,0.187344
-1.7312e-03,4.58344,0.189703
-1.7308e-03,4.57031,0.187375
-1.7304e-03,4.56062,0.185875
-1.7300e-03,4.58219,0.187266
-1.7296e-03,4.53281,0.186453
-1.7292e-03,4.53688,0.186984
-1.7288e-03,4.52531,0.185
-1.7284e-03,4.52531,0.183938
-1.7280e-03,4.52219,0.185875
-1.7276e-03,4.52906,0.184641
-1.7272e-03,4.51531,0.183781
-1.7268e-03,4.49625,0.182891
-1.7264e-03,4.49188,0.182297
-1.7260e-03,4.49656,0.18325
-1.7256e-03,4.46875,0.182203
-1.7252e-03,4.43187,0.182578
-1.7248e-03,4.46125,0.18325
-1.7244e-03,4.45063,0.181266
-1.7240e-03,4.43906,0.182813
-1.7236e-03,4.42438,0.180734
-1.7232e-03,4.41125,0.182422
-1.7228e-03,4.43031,0.181047
-1.7224e-03,4.39844,0.178844
-1.7220e-03,4.39406,0.178719
-1.7216e-03,4.36781,0.18
-1.7212e-03,4.35375,0.177156
-1.7208e-03,4.35969,0.178687
-1.7204e-03,4.36625,0.177969
-1.7200e-03,4.34469,0.177047
