waveform	[0]		[1]	
t0	2019/05/21  15:18:08.620644		2019/05/21  15:18:08.620645	
delta t	2.000000E-6		2.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2019/05/21  15:18:08.620644	-7.430822E-3	2019/05/21  15:18:08.620645	-9.677698E-2
2019/05/21  15:18:08.620646	-2.045500E-3	2019/05/21  15:18:08.620647	-3.530026E-2
2019/05/21  15:18:08.620648	7.039399E-3	2019/05/21  15:18:08.620649	4.421677E-2
2019/05/21  15:18:08.620650	1.277215E-2	2019/05/21  15:18:08.620651	1.114062E-1
2019/05/21  15:18:08.620652	1.816067E-2	2019/05/21  15:18:08.620653	1.742024E-1
2019/05/21  15:18:08.620654	1.876547E-2	2019/05/21  15:18:08.620655	2.088353E-1
2019/05/21  15:18:08.620656	2.201789E-2	2019/05/21  15:18:08.620657	2.214042E-1
2019/05/21  15:18:08.620658	1.714409E-2	2019/05/21  15:18:08.620659	2.080950E-1
2019/05/21  15:18:08.620660	1.244079E-2	2019/05/21  15:18:08.620661	1.684409E-1
2019/05/21  15:18:08.620662	5.984214E-3	2019/05/21  15:18:08.620663	1.033596E-1
2019/05/21  15:18:08.620664	-3.042781E-3	2019/05/21  15:18:08.620665	3.040873E-2
2019/05/21  15:18:08.620666	-9.084382E-3	2019/05/21  15:18:08.620667	-4.117433E-2
2019/05/21  15:18:08.620668	-1.594634E-2	2019/05/21  15:18:08.620669	-9.820929E-2
2019/05/21  15:18:08.620670	-1.663158E-2	2019/05/21  15:18:08.620671	-1.305733E-1
2019/05/21  15:18:08.620672	-1.368154E-2	2019/05/21  15:18:08.620673	-1.448965E-1
2019/05/21  15:18:08.620674	-1.238185E-2	2019/05/21  15:18:08.620675	-1.203056E-1
2019/05/21  15:18:08.620676	-4.313511E-3	2019/05/21  15:18:08.620677	-7.192875E-2
2019/05/21  15:18:08.620678	2.126993E-3	2019/05/21  15:18:08.620679	2.374207E-3
2019/05/21  15:18:08.620680	1.019852E-2	2019/05/21  15:18:08.620681	6.851762E-2
2019/05/21  15:18:08.620682	1.578650E-2	2019/05/21  15:18:08.620683	1.377510E-1
2019/05/21  15:18:08.620684	2.026139E-2	2019/05/21  15:18:08.620685	1.880265E-1
2019/05/21  15:18:08.620686	1.930593E-2	2019/05/21  15:18:08.620687	2.178476E-1
2019/05/21  15:18:08.620688	2.040616E-2	2019/05/21  15:18:08.620689	2.256851E-1
2019/05/21  15:18:08.620690	1.656502E-2	2019/05/21  15:18:08.620691	2.002092E-1
2019/05/21  15:18:08.620692	9.519729E-3	2019/05/21  15:18:08.620693	1.495796E-1
2019/05/21  15:18:08.620694	-1.345814E-4	2019/05/21  15:18:08.620695	7.849546E-2
2019/05/21  15:18:08.620696	-2.402591E-3	2019/05/21  15:18:08.620697	1.067835E-2
2019/05/21  15:18:08.620698	-8.653298E-3	2019/05/21  15:18:08.620699	-5.804017E-2
2019/05/21  15:18:08.620700	-1.357859E-2	2019/05/21  15:18:08.620701	-1.093621E-1
2019/05/21  15:18:08.620702	-1.477855E-2	2019/05/21  15:18:08.620703	-1.378475E-1
2019/05/21  15:18:08.620704	-1.156794E-2	2019/05/21  15:18:08.620705	-1.331160E-1
2019/05/21  15:18:08.620706	-8.260819E-3	2019/05/21  15:18:08.620707	-1.027637E-1
2019/05/21  15:18:08.620708	-3.155377E-3	2019/05/21  15:18:08.620709	-4.807837E-2
2019/05/21  15:18:08.620710	7.251723E-3	2019/05/21  15:18:08.620711	2.606354E-2
2019/05/21  15:18:08.620712	1.191963E-2	2019/05/21  15:18:08.620713	9.444390E-2
2019/05/21  15:18:08.620714	1.661650E-2	2019/05/21  15:18:08.620715	1.530718E-1
2019/05/21  15:18:08.620716	2.158037E-2	2019/05/21  15:18:08.620717	2.028968E-1
2019/05/21  15:18:08.620718	2.178305E-2	2019/05/21  15:18:08.620719	2.255081E-1
2019/05/21  15:18:08.620720	1.868505E-2	2019/05/21  15:18:08.620721	2.189580E-1
2019/05/21  15:18:08.620722	1.200328E-2	2019/05/21  15:18:08.620723	1.816697E-1
2019/05/21  15:18:08.620724	8.113887E-3	2019/05/21  15:18:08.620725	1.271455E-1
2019/05/21  15:18:08.620726	-4.595018E-4	2019/05/21  15:18:08.620727	5.614189E-2
2019/05/21  15:18:08.620728	-5.976720E-3	2019/05/21  15:18:08.620729	-1.222243E-2
2019/05/21  15:18:08.620730	-1.151968E-2	2019/05/21  15:18:08.620731	-8.090887E-2
2019/05/21  15:18:08.620732	-1.493297E-2	2019/05/21  15:18:08.620733	-1.276121E-1
2019/05/21  15:18:08.620734	-1.352391E-2	2019/05/21  15:18:08.620735	-1.443976E-1
2019/05/21  15:18:08.620736	-1.319255E-2	2019/05/21  15:18:08.620737	-1.296559E-1
2019/05/21  15:18:08.620738	-6.041060E-3	2019/05/21  15:18:08.620739	-8.356428E-2
2019/05/21  15:18:08.620740	6.921963E-4	2019/05/21  15:18:08.620741	-1.946442E-2
2019/05/21  15:18:08.620742	7.705325E-3	2019/05/21  15:18:08.620743	5.205420E-2
2019/05/21  15:18:08.620744	1.568356E-2	2019/05/21  15:18:08.620745	1.239912E-1
2019/05/21  15:18:08.620746	1.867861E-2	2019/05/21  15:18:08.620747	1.760853E-1
2019/05/21  15:18:08.620748	2.006837E-2	2019/05/21  15:18:08.620749	2.127782E-1
2019/05/21  15:18:08.620750	1.736928E-2	2019/05/21  15:18:08.620751	2.218871E-1
2019/05/21  15:18:08.620752	1.466376E-2	2019/05/21  15:18:08.620753	2.048924E-1
2019/05/21  15:18:08.620754	1.100921E-2	2019/05/21  15:18:08.620755	1.639026E-1
2019/05/21  15:18:08.620756	4.298489E-3	2019/05/21  15:18:08.620757	1.025388E-1
2019/05/21  15:18:08.620758	-9.066696E-4	2019/05/21  15:18:08.620759	3.459298E-2
2019/05/21  15:18:08.620760	-1.000124E-2	2019/05/21  15:18:08.620761	-4.136745E-2
2019/05/21  15:18:08.620762	-1.321185E-2	2019/05/21  15:18:08.620763	-9.906224E-2
2019/05/21  15:18:08.620764	-1.871301E-2	2019/05/21  15:18:08.620765	-1.355462E-1
2019/05/21  15:18:08.620766	-1.378449E-2	2019/05/21  15:18:08.620767	-1.409536E-1
2019/05/21  15:18:08.620768	-1.250088E-2	2019/05/21  15:18:08.620769	-1.163305E-1
2019/05/21  15:18:08.620770	-3.412740E-3	2019/05/21  15:18:08.620771	-6.347973E-2
2019/05/21  15:18:08.620772	4.388566E-3	2019/05/21  15:18:08.620773	1.289923E-2
2019/05/21  15:18:08.620774	1.078724E-2	2019/05/21  15:18:08.620775	8.058758E-2
2019/05/21  15:18:08.620776	1.445465E-2	2019/05/21  15:18:08.620777	1.442205E-1
2019/05/21  15:18:08.620778	1.552271E-2	2019/05/21  15:18:08.620779	1.940938E-1
