waveform	[0]		[1]	
t0	2019/05/21  15:15:28.132665		2019/05/21  15:15:28.132666	
delta t	2.000000E-6		2.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2019/05/21  15:15:28.132665	1.868826E-2	2019/05/21  15:15:28.132666	2.005955E-1
2019/05/21  15:15:28.132667	1.702184E-2	2019/05/21  15:15:28.132668	2.014645E-1
2019/05/21  15:15:28.132669	1.889094E-2	2019/05/21  15:15:28.132670	2.061960E-1
2019/05/21  15:15:28.132671	1.798695E-2	2019/05/21  15:15:28.132672	2.096400E-1
2019/05/21  15:15:28.132673	1.778749E-2	2019/05/21  15:15:28.132674	2.098975E-1
2019/05/21  15:15:28.132675	1.878156E-2	2019/05/21  15:15:28.132676	2.136472E-1
2019/05/21  15:15:28.132677	2.080507E-2	2019/05/21  15:15:28.132678	2.194248E-1
2019/05/21  15:15:28.132679	1.704436E-2	2019/05/21  15:15:28.132680	2.166406E-1
2019/05/21  15:15:28.132681	1.940888E-2	2019/05/21  15:15:28.132682	2.178476E-1
2019/05/21  15:15:28.132683	1.886520E-2	2019/05/21  15:15:28.132684	2.162222E-1
2019/05/21  15:15:28.132685	2.006837E-2	2019/05/21  15:15:28.132686	2.173326E-1
2019/05/21  15:15:28.132687	2.010697E-2	2019/05/21  15:15:28.132688	2.133093E-1
2019/05/21  15:15:28.132689	2.133266E-2	2019/05/21  15:15:28.132690	2.190224E-1
2019/05/21  15:15:28.132691	1.914508E-2	2019/05/21  15:15:28.132692	2.198432E-1
2019/05/21  15:15:28.132693	1.947965E-2	2019/05/21  15:15:28.132694	2.259265E-1
2019/05/21  15:15:28.132695	1.939279E-2	2019/05/21  15:15:28.132696	2.307867E-1
2019/05/21  15:15:28.132697	2.074395E-2	2019/05/21  15:15:28.132698	2.337479E-1
2019/05/21  15:15:28.132699	1.896493E-2	2019/05/21  15:15:28.132700	2.294027E-1
2019/05/21  15:15:28.132701	1.973058E-2	2019/05/21  15:15:28.132702	2.294349E-1
2019/05/21  15:15:28.132703	2.123615E-2	2019/05/21  15:15:28.132704	2.357274E-1
2019/05/21  15:15:28.132705	1.920942E-2	2019/05/21  15:15:28.132706	2.306258E-1
2019/05/21  15:15:28.132707	2.129406E-2	2019/05/21  15:15:28.132708	2.299016E-1
2019/05/21  15:15:28.132709	1.772637E-2	2019/05/21  15:15:28.132710	2.353573E-1
2019/05/21  15:15:28.132711	1.838908E-2	2019/05/21  15:15:28.132712	2.313983E-1
2019/05/21  15:15:28.132713	1.952791E-2	2019/05/21  15:15:28.132714	2.360654E-1
2019/05/21  15:15:28.132715	2.043189E-2	2019/05/21  15:15:28.132716	2.385759E-1
2019/05/21  15:15:28.132717	2.158037E-2	2019/05/21  15:15:28.132718	2.391553E-1
2019/05/21  15:15:28.132719	2.143561E-2	2019/05/21  15:15:28.132720	2.409900E-1
2019/05/21  15:15:28.132721	2.092732E-2	2019/05/21  15:15:28.132722	2.391875E-1
2019/05/21  15:15:28.132723	2.229777E-2	2019/05/21  15:15:28.132724	2.397025E-1
2019/05/21  15:15:28.132725	2.386125E-2	2019/05/21  15:15:28.132726	2.442891E-1
2019/05/21  15:15:28.132727	2.098522E-2	2019/05/21  15:15:28.132728	2.431787E-1
2019/05/21  15:15:28.132729	2.171871E-2	2019/05/21  15:15:28.132730	2.501954E-1
2019/05/21  15:15:28.132731	2.287362E-2	2019/05/21  15:15:28.132732	2.488758E-1
2019/05/21  15:15:28.132733	2.301839E-2	2019/05/21  15:15:28.132734	2.475883E-1
2019/05/21  15:15:28.132735	2.113964E-2	2019/05/21  15:15:28.132736	2.534463E-1
2019/05/21  15:15:28.132737	2.185704E-2	2019/05/21  15:15:28.132738	2.526738E-1
2019/05/21  15:15:28.132739	2.284788E-2	2019/05/21  15:15:28.132740	2.514346E-1
2019/05/21  15:15:28.132741	2.284467E-2	2019/05/21  15:15:28.132742	2.530118E-1
2019/05/21  15:15:28.132743	2.189243E-2	2019/05/21  15:15:28.132744	2.534624E-1
2019/05/21  15:15:28.132745	2.260982E-2	2019/05/21  15:15:28.132746	2.528187E-1
2019/05/21  15:15:28.132747	2.346234E-2	2019/05/21  15:15:28.132748	2.537682E-1
2019/05/21  15:15:28.132749	1.967589E-2	2019/05/21  15:15:28.132750	2.523520E-1
2019/05/21  15:15:28.132751	2.641557E-2	2019/05/21  15:15:28.132752	2.587572E-1
2019/05/21  15:15:28.132753	2.259374E-2	2019/05/21  15:15:28.132754	2.539130E-1
2019/05/21  15:15:28.132755	2.151282E-2	2019/05/21  15:15:28.132756	2.578881E-1
2019/05/21  15:15:28.132757	2.333366E-2	2019/05/21  15:15:28.132758	2.570513E-1
2019/05/21  15:15:28.132759	2.294118E-2	2019/05/21  15:15:28.132760	2.579686E-1
2019/05/21  15:15:28.132761	2.188599E-2	2019/05/21  15:15:28.132762	2.588054E-1
2019/05/21  15:15:28.132763	2.239106E-2	2019/05/21  15:15:28.132764	2.595940E-1
2019/05/21  15:15:28.132765	2.400602E-2	2019/05/21  15:15:28.132766	2.622655E-1
2019/05/21  15:15:28.132767	2.176696E-2	2019/05/21  15:15:28.132768	2.595618E-1
2019/05/21  15:15:28.132769	2.261947E-2	2019/05/21  15:15:28.132770	2.598676E-1
2019/05/21  15:15:28.132771	2.150316E-2	2019/05/21  15:15:28.132772	2.591434E-1
2019/05/21  15:15:28.132773	2.363927E-2	2019/05/21  15:15:28.132774	2.578237E-1
2019/05/21  15:15:28.132775	2.277711E-2	2019/05/21  15:15:28.132776	2.594170E-1
2019/05/21  15:15:28.132777	2.201467E-2	2019/05/21  15:15:28.132778	2.594009E-1
