waveform	[0]		[1]	
t0	2019/05/21  14:56:29.209522		2019/05/21  14:56:29.209523	
delta t	2.000000E-6		2.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2019/05/21  14:56:29.209522	7.837357E-3	2019/05/21  14:56:29.209523	-1.631013E-2
2019/05/21  14:56:29.209524	1.316382E-1	2019/05/21  14:56:29.209525	-1.445940E-2
2019/05/21  14:56:29.209526	2.518972E-1	2019/05/21  14:56:29.209527	-1.616529E-2
2019/05/21  14:56:29.209528	3.639456E-1	2019/05/21  14:56:29.209529	-1.634231E-2
2019/05/21  14:56:29.209530	4.598952E-1	2019/05/21  14:56:29.209531	-1.759759E-2
2019/05/21  14:56:29.209532	5.505321E-1	2019/05/21  14:56:29.209533	-1.556984E-2
2019/05/21  14:56:29.209534	6.274849E-1	2019/05/21  14:56:29.209535	-1.339724E-2
2019/05/21  14:56:29.209536	6.876949E-1	2019/05/21  14:56:29.209537	-1.072575E-2
2019/05/21  14:56:29.209538	7.310009E-1	2019/05/21  14:56:29.209539	-1.103152E-2
2019/05/21  14:56:29.209540	7.627158E-1	2019/05/21  14:56:29.209541	-1.037169E-2
2019/05/21  14:56:29.209542	7.683504E-1	2019/05/21  14:56:29.209543	-8.022070E-3
2019/05/21  14:56:29.209544	7.702823E-1	2019/05/21  14:56:29.209545	-5.608073E-3
2019/05/21  14:56:29.209546	7.459729E-1	2019/05/21  14:56:29.209547	-1.568653E-3
2019/05/21  14:56:29.209548	7.034718E-1	2019/05/21  14:56:29.209549	2.981705E-4
2019/05/21  14:56:29.209550	6.463206E-1	2019/05/21  14:56:29.209551	4.269169E-4
2019/05/21  14:56:29.209552	5.803151E-1	2019/05/21  14:56:29.209553	3.420272E-3
2019/05/21  14:56:29.209554	5.003035E-1	2019/05/21  14:56:29.209555	6.011293E-3
2019/05/21  14:56:29.209556	3.969484E-1	2019/05/21  14:56:29.209557	9.213860E-3
2019/05/21  14:56:29.209558	2.913395E-1	2019/05/21  14:56:29.209559	8.473568E-3
2019/05/21  14:56:29.209560	1.792910E-1	2019/05/21  14:56:29.209561	1.005071E-2
2019/05/21  14:56:29.209562	5.951495E-2	2019/05/21  14:56:29.209563	1.524885E-2
2019/05/21  14:56:29.209564	-5.945622E-2	2019/05/21  14:56:29.209565	1.487870E-2
2019/05/21  14:56:29.209566	-1.848670E-1	2019/05/21  14:56:29.209567	1.666506E-2
2019/05/21  14:56:29.209568	-3.122098E-1	2019/05/21  14:56:29.209569	1.872500E-2
2019/05/21  14:56:29.209570	-4.350450E-1	2019/05/21  14:56:29.209571	1.573165E-2
2019/05/21  14:56:29.209572	-5.533726E-1	2019/05/21  14:56:29.209573	1.837095E-2
2019/05/21  14:56:29.209574	-6.641338E-1	2019/05/21  14:56:29.209575	2.078494E-2
2019/05/21  14:56:29.209576	-7.769879E-1	2019/05/21  14:56:29.209577	2.147695E-2
2019/05/21  14:56:29.209578	-8.755140E-1	2019/05/21  14:56:29.209579	2.006074E-2
2019/05/21  14:56:29.209580	-9.616440E-1	2019/05/21  14:56:29.209581	1.671334E-2
2019/05/21  14:56:29.209582	-1.044393E+0	2019/05/21  14:56:29.209583	1.903077E-2
2019/05/21  14:56:29.209584	-1.104443E+0	2019/05/21  14:56:29.209585	1.664896E-2
2019/05/21  14:56:29.209586	-1.156765E+0	2019/05/21  14:56:29.209587	1.606960E-2
2019/05/21  14:56:29.209588	-1.194437E+0	2019/05/21  14:56:29.209589	1.732488E-2
2019/05/21  14:56:29.209590	-1.219229E+0	2019/05/21  14:56:29.209591	1.586039E-2
2019/05/21  14:56:29.209592	-1.225830E+0	2019/05/21  14:56:29.209593	1.249689E-2
2019/05/21  14:56:29.209594	-1.222449E+0	2019/05/21  14:56:29.209595	1.230377E-2
2019/05/21  14:56:29.209596	-1.209892E+0	2019/05/21  14:56:29.209597	1.269001E-2
2019/05/21  14:56:29.209598	-1.176889E+0	2019/05/21  14:56:29.209599	9.229953E-3
2019/05/21  14:56:29.209600	-1.129396E+0	2019/05/21  14:56:29.209601	5.254908E-3
2019/05/21  14:56:29.209602	-1.068059E+0	2019/05/21  14:56:29.209603	3.468551E-3
2019/05/21  14:56:29.209604	-9.845047E-1	2019/05/21  14:56:29.209605	1.633915E-3
2019/05/21  14:56:29.209606	-8.954769E-1	2019/05/21  14:56:29.209607	-3.869996E-3
2019/05/21  14:56:29.209608	-7.897061E-1	2019/05/21  14:56:29.209609	-3.660783E-3
2019/05/21  14:56:29.209610	-6.857064E-1	2019/05/21  14:56:29.209611	-7.378338E-3
2019/05/21  14:56:29.209612	-5.681837E-1	2019/05/21  14:56:29.209613	-7.265685E-3
2019/05/21  14:56:29.209614	-4.437385E-1	2019/05/21  14:56:29.209615	-8.376123E-3
2019/05/21  14:56:29.209616	-3.188104E-1	2019/05/21  14:56:29.209617	-1.264085E-2
2019/05/21  14:56:29.209618	-1.921116E-1	2019/05/21  14:56:29.209619	-1.394441E-2
2019/05/21  14:56:29.209620	-6.122710E-2	2019/05/21  14:56:29.209621	-1.696995E-2
2019/05/21  14:56:29.209622	6.853035E-2	2019/05/21  14:56:29.209623	-1.407316E-2
2019/05/21  14:56:29.209624	1.886284E-1	2019/05/21  14:56:29.209625	-1.783899E-2
2019/05/21  14:56:29.209626	3.130731E-1	2019/05/21  14:56:29.209627	-1.856319E-2
2019/05/21  14:56:29.209628	4.233507E-1	2019/05/21  14:56:29.209629	-1.854710E-2
2019/05/21  14:56:29.209630	5.175293E-1	2019/05/21  14:56:29.209631	-1.576295E-2
2019/05/21  14:56:29.209632	6.091321E-1	2019/05/21  14:56:29.209633	-1.426628E-2
2019/05/21  14:56:29.209634	6.781965E-1	2019/05/21  14:56:29.209635	-1.470080E-2
