waveform	[0]		[1]	
t0	2019/05/21  16:28:35.667139		2019/05/21  16:28:35.667150	
delta t	8.000000E-5		8.000000E-5	

time[0]	Y[0]	time[1]	Y[1]
2019/05/21  16:28:35.667139	-1.190573E-2	2019/05/21  16:28:35.667150	8.159336E-3
2019/05/21  16:28:35.667219	-1.806317E-2	2019/05/21  16:28:35.667230	1.218407E-2
2019/05/21  16:28:35.667299	-1.455980E-2	2019/05/21  16:28:35.667310	1.234506E-2
2019/05/21  16:28:35.667379	-1.397751E-2	2019/05/21  16:28:35.667390	1.719761E-3
2019/05/21  16:28:35.667459	-1.618441E-2	2019/05/21  16:28:35.667470	-5.041794E-3
2019/05/21  16:28:35.667539	-1.443433E-2	2019/05/21  16:28:35.667550	9.608241E-3
2019/05/21  16:28:35.667619	-1.361720E-2	2019/05/21  16:28:35.667630	1.878464E-2
2019/05/21  16:28:35.667699	-1.386813E-2	2019/05/21  16:28:35.667710	-1.017059E-3
2019/05/21  16:28:35.667779	-1.741976E-2	2019/05/21  16:28:35.667790	-1.566709E-2
2019/05/21  16:28:35.667859	-1.448902E-2	2019/05/21  16:28:35.667870	-1.920886E-2
2019/05/21  16:28:35.667939	-1.279042E-2	2019/05/21  16:28:35.667950	-2.629240E-2
2019/05/21  16:28:35.668019	-1.395177E-2	2019/05/21  16:28:35.668030	-1.115939E-2
2019/05/21  16:28:35.668099	-2.012852E-2	2019/05/21  16:28:35.668110	7.538242E-4
2019/05/21  16:28:35.668179	-1.357216E-2	2019/05/21  16:28:35.668190	4.939548E-3
2019/05/21  16:28:35.668259	-1.458875E-2	2019/05/21  16:28:35.668270	-5.202784E-3
2019/05/21  16:28:35.668339	-1.541553E-2	2019/05/21  16:28:35.668350	7.998347E-3
2019/05/21  16:28:35.668419	-1.163550E-2	2019/05/21  16:28:35.668430	1.098666E-4
2019/05/21  16:28:35.668499	-1.398073E-2	2019/05/21  16:28:35.668510	1.508188E-2
2019/05/21  16:28:35.668579	-1.665088E-2	2019/05/21  16:28:35.668590	2.007255E-2
