waveform	[0]		[1]	
t0	2019/05/21  16:27:10.791273		2019/05/21  16:27:10.791274	
delta t	2.000000E-6		2.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2019/05/21  16:27:10.791273	-1.475282E-2	2019/05/21  16:27:10.791274	1.419230E+0
2019/05/21  16:27:10.791275	-1.399681E-2	2019/05/21  16:27:10.791276	1.398784E+0
2019/05/21  16:27:10.791277	-1.574689E-2	2019/05/21  16:27:10.791278	1.381237E+0
2019/05/21  16:27:10.791279	-1.411584E-2	2019/05/21  16:27:10.791280	1.365460E+0
2019/05/21  16:27:10.791281	-1.419627E-2	2019/05/21  16:27:10.791282	1.347107E+0
2019/05/21  16:27:10.791283	-1.003984E-2	2019/05/21  16:27:10.791284	1.331008E+0
2019/05/21  16:27:10.791285	-9.772829E-3	2019/05/21  16:27:10.791286	1.316036E+0
2019/05/21  16:27:10.791287	-1.400646E-2	2019/05/21  16:27:10.791288	1.300259E+0
2019/05/21  16:27:10.791289	-1.307352E-2	2019/05/21  16:27:10.791290	1.283999E+0
2019/05/21  16:27:10.791291	-1.278720E-2	2019/05/21  16:27:10.791292	1.270798E+0
2019/05/21  16:27:10.791293	-1.198616E-2	2019/05/21  16:27:10.791294	1.262587E+0
2019/05/21  16:27:10.791295	-1.426704E-2	2019/05/21  16:27:10.791296	1.198675E+0
2019/05/21  16:27:10.791297	1.915473E-2	2019/05/21  16:27:10.791298	1.038812E+0
2019/05/21  16:27:10.791299	1.764595E-2	2019/05/21  16:27:10.791300	8.868384E-1
2019/05/21  16:27:10.791301	1.802555E-2	2019/05/21  16:27:10.791302	7.488707E-1
2019/05/21  16:27:10.791303	1.717948E-2	2019/05/21  16:27:10.791304	6.171816E-1
2019/05/21  16:27:10.791305	1.768133E-2	2019/05/21  16:27:10.791306	4.927370E-1
2019/05/21  16:27:10.791307	1.845985E-2	2019/05/21  16:27:10.791308	3.745709E-1
2019/05/21  16:27:10.791309	1.919012E-2	2019/05/21  16:27:10.791310	2.647763E-1
