waveform	[0]		[1]	
t0	2019/05/27  15:59:06.445258		2019/05/27  15:59:06.445260	
delta t	4.000000E-6		4.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2019/05/27  15:59:06.445258	6.487474E-5	2019/05/27  15:59:06.445260	-2.487853E+0
2019/05/27  15:59:06.445262	9.704508E-5	2019/05/27  15:59:06.445264	-2.488175E+0
2019/05/27  15:59:06.445266	-1.233408E-5	2019/05/27  15:59:06.445268	-2.487853E+0
2019/05/27  15:59:06.445270	1.967731E-4	2019/05/27  15:59:06.445272	-2.487853E+0
2019/05/27  15:59:06.445274	1.131302E-4	2019/05/27  15:59:06.445276	-2.488497E+0
2019/05/27  15:59:06.445278	-2.198518E-5	2019/05/27  15:59:06.445280	-2.487853E+0
2019/05/27  15:59:06.445282	-6.380662E-5	2019/05/27  15:59:06.445284	-2.487853E+0
2019/05/27  15:59:06.445286	1.839050E-4	2019/05/27  15:59:06.445288	-2.487853E+0
2019/05/27  15:59:06.445290	-8.954289E-5	2019/05/27  15:59:06.445292	-2.487370E+0
2019/05/27  15:59:06.445294	-3.436886E-4	2019/05/27  15:59:06.445296	-2.488175E+0
2019/05/27  15:59:06.445298	-5.900008E-6	2019/05/27  15:59:06.445300	-2.487531E+0
2019/05/27  15:59:06.445302	6.165770E-5	2019/05/27  15:59:06.445304	-2.487692E+0
2019/05/27  15:59:06.445306	-5.900008E-6	2019/05/27  15:59:06.445308	-2.488175E+0
2019/05/27  15:59:06.445310	-2.343094E-4	2019/05/27  15:59:06.445312	-2.488014E+0
2019/05/27  15:59:06.445314	-2.503946E-4	2019/05/27  15:59:06.445316	-2.488336E+0
2019/05/27  15:59:06.445318	1.581687E-4	2019/05/27  15:59:06.445320	-2.488175E+0
2019/05/27  15:59:06.445322	-9.275992E-5	2019/05/27  15:59:06.445324	-2.488497E+0
2019/05/27  15:59:06.445326	-4.498507E-4	2019/05/27  15:59:06.445328	-2.487853E+0
2019/05/27  15:59:06.445330	-2.568287E-4	2019/05/27  15:59:06.445332	-2.487531E+0
2019/05/27  15:59:06.445334	1.292154E-4	2019/05/27  15:59:06.445336	-2.487853E+0
2019/05/27  15:59:06.445338	-3.694249E-4	2019/05/27  15:59:06.445340	-2.487853E+0
2019/05/27  15:59:06.445342	-1.088451E-4	2019/05/27  15:59:06.445344	-2.487692E+0
2019/05/27  15:59:06.445346	-1.024110E-4	2019/05/27  15:59:06.445348	-2.488014E+0
2019/05/27  15:59:06.445350	-3.485331E-5	2019/05/27  15:59:06.445352	-2.487853E+0
2019/05/27  15:59:06.445354	-1.184962E-4	2019/05/27  15:59:06.445356	-2.488014E+0
2019/05/27  15:59:06.445358	-1.474495E-4	2019/05/27  15:59:06.445360	-2.487853E+0
2019/05/27  15:59:06.445362	-1.828369E-4	2019/05/27  15:59:06.445364	-2.488175E+0
2019/05/27  15:59:06.445366	-2.182243E-4	2019/05/27  15:59:06.445368	-2.488014E+0
2019/05/27  15:59:06.445370	4.235550E-5	2019/05/27  15:59:06.445372	-2.487531E+0
2019/05/27  15:59:06.445374	-3.951611E-4	2019/05/27  15:59:06.445376	-2.488175E+0
2019/05/27  15:59:06.445378	1.999902E-4	2019/05/27  15:59:06.445380	-2.487370E+0
2019/05/27  15:59:06.445382	-3.662078E-4	2019/05/27  15:59:06.445384	-2.488014E+0
2019/05/27  15:59:06.445386	-1.345814E-4	2019/05/27  15:59:06.445388	-2.487370E+0
2019/05/27  15:59:06.445390	-9.597696E-5	2019/05/27  15:59:06.445392	-2.487692E+0
2019/05/27  15:59:06.445394	-2.600457E-4	2019/05/27  15:59:06.445396	-2.487853E+0
2019/05/27  15:59:06.445398	-2.568287E-4	2019/05/27  15:59:06.445400	-2.487370E+0
2019/05/27  15:59:06.445402	-8.632586E-5	2019/05/27  15:59:06.445404	-2.487692E+0
2019/05/27  15:59:06.445406	-2.278754E-4	2019/05/27  15:59:06.445408	-2.487531E+0
2019/05/27  15:59:06.445410	-2.729138E-4	2019/05/27  15:59:06.445412	-2.487692E+0
2019/05/27  15:59:06.445414	-1.249303E-4	2019/05/27  15:59:06.445416	-2.488175E+0
2019/05/27  15:59:06.445418	-1.088451E-4	2019/05/27  15:59:06.445420	-2.487209E+0
2019/05/27  15:59:06.445422	-7.024069E-5	2019/05/27  15:59:06.445424	-2.488014E+0
2019/05/27  15:59:06.445426	3.930122E-4	2019/05/27  15:59:06.445428	-2.487370E+0
2019/05/27  15:59:06.445430	-1.152792E-4	2019/05/27  15:59:06.445432	-2.488014E+0
2019/05/27  15:59:06.445434	-6.380662E-5	2019/05/27  15:59:06.445436	-2.487531E+0
2019/05/27  15:59:06.445438	-2.664798E-4	2019/05/27  15:59:06.445440	-2.487531E+0
2019/05/27  15:59:06.445442	-2.439605E-4	2019/05/27  15:59:06.445444	-2.487370E+0
2019/05/27  15:59:06.445446	-4.450442E-5	2019/05/27  15:59:06.445448	-2.488014E+0
2019/05/27  15:59:06.445450	-3.822930E-4	2019/05/27  15:59:06.445452	-2.487692E+0
2019/05/27  15:59:06.445454	-1.152792E-4	2019/05/27  15:59:06.445456	-2.487692E+0
2019/05/27  15:59:06.445458	6.487474E-5	2019/05/27  15:59:06.445460	-2.487209E+0
2019/05/27  15:59:06.445462	7.774287E-5	2019/05/27  15:59:06.445464	-2.486726E+0
2019/05/27  15:59:06.445466	-1.088451E-4	2019/05/27  15:59:06.445468	-2.487370E+0
2019/05/27  15:59:06.445470	-1.152792E-4	2019/05/27  15:59:06.445472	-2.487370E+0
2019/05/27  15:59:06.445474	-2.198518E-5	2019/05/27  15:59:06.445476	-2.487531E+0
2019/05/27  15:59:06.445478	-8.954289E-5	2019/05/27  15:59:06.445480	-2.487209E+0
2019/05/27  15:59:06.445482	-4.691529E-4	2019/05/27  15:59:06.445484	-2.486887E+0
2019/05/27  15:59:06.445486	-3.404715E-4	2019/05/27  15:59:06.445488	-2.487370E+0
2019/05/27  15:59:06.445490	-1.828369E-4	2019/05/27  15:59:06.445492	-2.487370E+0
2019/05/27  15:59:06.445494	-2.922160E-4	2019/05/27  15:59:06.445496	-2.487209E+0
2019/05/27  15:59:06.445498	-2.150072E-4	2019/05/27  15:59:06.445500	-2.486887E+0
2019/05/27  15:59:06.445502	-5.914002E-4	2019/05/27  15:59:06.445504	-2.487853E+0
2019/05/27  15:59:06.445506	-2.375265E-4	2019/05/27  15:59:06.445508	-2.487370E+0
2019/05/27  15:59:06.445510	-2.857820E-4	2019/05/27  15:59:06.445512	-2.487209E+0
2019/05/27  15:59:06.445514	-2.889990E-4	2019/05/27  15:59:06.445516	-2.487370E+0
2019/05/27  15:59:06.445518	-4.112463E-4	2019/05/27  15:59:06.445520	-2.488014E+0
2019/05/27  15:59:06.445522	-1.474495E-4	2019/05/27  15:59:06.445524	-2.488175E+0
2019/05/27  15:59:06.445526	-2.841925E-5	2019/05/27  15:59:06.445528	-2.487692E+0
2019/05/27  15:59:06.445530	-2.841925E-5	2019/05/27  15:59:06.445532	-2.488014E+0
2019/05/27  15:59:06.445534	-4.015952E-4	2019/05/27  15:59:06.445536	-2.487853E+0
2019/05/27  15:59:06.445538	-2.536116E-4	2019/05/27  15:59:06.445540	-2.487209E+0
2019/05/27  15:59:06.445542	-1.056281E-4	2019/05/27  15:59:06.445544	-2.487692E+0
2019/05/27  15:59:06.445546	-2.053561E-4	2019/05/27  15:59:06.445548	-2.487692E+0
2019/05/27  15:59:06.445550	-2.889990E-4	2019/05/27  15:59:06.445552	-2.488014E+0
2019/05/27  15:59:06.445554	-2.278754E-4	2019/05/27  15:59:06.445556	-2.487048E+0
2019/05/27  15:59:06.445558	-3.018671E-4	2019/05/27  15:59:06.445560	-2.487048E+0
2019/05/27  15:59:06.445562	-6.702365E-5	2019/05/27  15:59:06.445564	-2.486887E+0
2019/05/27  15:59:06.445566	-2.407435E-4	2019/05/27  15:59:06.445568	-2.487209E+0
2019/05/27  15:59:06.445570	-3.726419E-4	2019/05/27  15:59:06.445572	-2.487370E+0
2019/05/27  15:59:06.445574	-2.053561E-4	2019/05/27  15:59:06.445576	-2.486726E+0
2019/05/27  15:59:06.445578	-8.632586E-5	2019/05/27  15:59:06.445580	-2.487692E+0
2019/05/27  15:59:06.445582	-4.080293E-4	2019/05/27  15:59:06.445584	-2.487209E+0
2019/05/27  15:59:06.445586	-3.629908E-4	2019/05/27  15:59:06.445588	-2.487048E+0
2019/05/27  15:59:06.445590	-2.857820E-4	2019/05/27  15:59:06.445592	-2.487209E+0
2019/05/27  15:59:06.445594	-8.938015E-4	2019/05/27  15:59:06.445596	-2.487209E+0
2019/05/27  15:59:06.445598	-3.533397E-4	2019/05/27  15:59:06.445600	-2.487209E+0
2019/05/27  15:59:06.445602	1.420835E-4	2019/05/27  15:59:06.445604	-2.487209E+0
