waveform	[0]		[1]	
t0	2019/05/27  15:13:54.163124		2019/05/27  15:13:54.163126	
delta t	4.000000E-6		4.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2019/05/27  15:13:54.163124	-1.246787E-3	2019/05/27  15:13:54.163126	-6.973667E-3
2019/05/27  15:13:54.163128	-1.246787E-3	2019/05/27  15:13:54.163130	-7.134656E-3
2019/05/27  15:13:54.163132	-1.295067E-3	2019/05/27  15:13:54.163134	-6.973667E-3
2019/05/27  15:13:54.163136	-1.182414E-3	2019/05/27  15:13:54.163138	-8.261582E-3
2019/05/27  15:13:54.163140	-1.295067E-3	2019/05/27  15:13:54.163142	-9.549497E-3
2019/05/27  15:13:54.163144	-1.295067E-3	2019/05/27  15:13:54.163146	-8.100593E-3
2019/05/27  15:13:54.163148	-1.278974E-3	2019/05/27  15:13:54.163150	-7.456635E-3
2019/05/27  15:13:54.163152	-1.262880E-3	2019/05/27  15:13:54.163154	-5.524762E-3
2019/05/27  15:13:54.163156	-1.295067E-3	2019/05/27  15:13:54.163158	-8.100593E-3
2019/05/27  15:13:54.163160	-1.311160E-3	2019/05/27  15:13:54.163162	-2.948932E-3
2019/05/27  15:13:54.163164	-1.295067E-3	2019/05/27  15:13:54.163166	-9.066529E-3
2019/05/27  15:13:54.163168	-1.295067E-3	2019/05/27  15:13:54.163170	-9.549497E-3
2019/05/27  15:13:54.163172	-1.182414E-3	2019/05/27  15:13:54.163174	-8.744550E-3
2019/05/27  15:13:54.163176	-1.391627E-3	2019/05/27  15:13:54.163178	-1.132038E-2
2019/05/27  15:13:54.163180	-1.278974E-3	2019/05/27  15:13:54.163182	-9.549497E-3
2019/05/27  15:13:54.163184	-1.278974E-3	2019/05/27  15:13:54.163186	-8.744550E-3
2019/05/27  15:13:54.163188	-1.262880E-3	2019/05/27  15:13:54.163190	-7.456635E-3
2019/05/27  15:13:54.163192	-1.327253E-3	2019/05/27  15:13:54.163194	-4.558826E-3
2019/05/27  15:13:54.163196	-1.262880E-3	2019/05/27  15:13:54.163198	-9.549497E-3
2019/05/27  15:13:54.163200	-1.278974E-3	2019/05/27  15:13:54.163202	-8.583561E-3
2019/05/27  15:13:54.163204	-1.278974E-3	2019/05/27  15:13:54.163206	-5.685752E-3
2019/05/27  15:13:54.163208	-1.246787E-3	2019/05/27  15:13:54.163210	-7.939603E-3
2019/05/27  15:13:54.163212	-1.230694E-3	2019/05/27  15:13:54.163214	-8.422572E-3
2019/05/27  15:13:54.163216	-1.278974E-3	2019/05/27  15:13:54.163218	-8.583561E-3
2019/05/27  15:13:54.163220	-1.295067E-3	2019/05/27  15:13:54.163222	-7.617625E-3
2019/05/27  15:13:54.163224	-1.278974E-3	2019/05/27  15:13:54.163226	-8.100593E-3
2019/05/27  15:13:54.163228	-1.262880E-3	2019/05/27  15:13:54.163230	-6.007731E-3
2019/05/27  15:13:54.163232	-1.214600E-3	2019/05/27  15:13:54.163234	-8.905540E-3
2019/05/27  15:13:54.163236	-1.343347E-3	2019/05/27  15:13:54.163238	-8.261582E-3
2019/05/27  15:13:54.163240	-1.246787E-3	2019/05/27  15:13:54.163242	-9.549497E-3
2019/05/27  15:13:54.163244	-1.295067E-3	2019/05/27  15:13:54.163246	-9.227519E-3
2019/05/27  15:13:54.163248	-1.230694E-3	2019/05/27  15:13:54.163250	-7.134656E-3
2019/05/27  15:13:54.163252	-1.311160E-3	2019/05/27  15:13:54.163254	-4.075858E-3
2019/05/27  15:13:54.163256	-1.246787E-3	2019/05/27  15:13:54.163258	-6.168720E-3
2019/05/27  15:13:54.163260	-1.359440E-3	2019/05/27  15:13:54.163262	-1.051543E-2
2019/05/27  15:13:54.163264	-1.230694E-3	2019/05/27  15:13:54.163266	-8.422572E-3
2019/05/27  15:13:54.163268	-1.295067E-3	2019/05/27  15:13:54.163270	-9.388508E-3
2019/05/27  15:13:54.163272	-1.230694E-3	2019/05/27  15:13:54.163274	-7.939603E-3
2019/05/27  15:13:54.163276	-1.278974E-3	2019/05/27  15:13:54.163278	-8.905540E-3
2019/05/27  15:13:54.163280	-1.214600E-3	2019/05/27  15:13:54.163282	-7.778614E-3
2019/05/27  15:13:54.163284	-1.262880E-3	2019/05/27  15:13:54.163286	-5.846741E-3
2019/05/27  15:13:54.163288	-1.246787E-3	2019/05/27  15:13:54.163290	-6.812678E-3
2019/05/27  15:13:54.163292	-1.198507E-3	2019/05/27  15:13:54.163294	-7.295646E-3
2019/05/27  15:13:54.163296	-1.278974E-3	2019/05/27  15:13:54.163298	-5.846741E-3
2019/05/27  15:13:54.163300	-1.295067E-3	2019/05/27  15:13:54.163302	-6.168720E-3
2019/05/27  15:13:54.163304	-1.262880E-3	2019/05/27  15:13:54.163306	-7.939603E-3
2019/05/27  15:13:54.163308	-1.359440E-3	2019/05/27  15:13:54.163310	-9.871476E-3
2019/05/27  15:13:54.163312	-1.278974E-3	2019/05/27  15:13:54.163314	-1.019345E-2
2019/05/27  15:13:54.163316	-1.343347E-3	2019/05/27  15:13:54.163318	-8.744550E-3
2019/05/27  15:13:54.163320	-1.230694E-3	2019/05/27  15:13:54.163322	-8.100593E-3
2019/05/27  15:13:54.163324	-1.375533E-3	2019/05/27  15:13:54.163326	-6.007731E-3
2019/05/27  15:13:54.163328	-1.214600E-3	2019/05/27  15:13:54.163330	-6.651688E-3
2019/05/27  15:13:54.163332	-1.359440E-3	2019/05/27  15:13:54.163334	-3.914868E-3
2019/05/27  15:13:54.163336	-1.262880E-3	2019/05/27  15:13:54.163338	-8.905540E-3
2019/05/27  15:13:54.163340	-1.278974E-3	2019/05/27  15:13:54.163342	-6.168720E-3
2019/05/27  15:13:54.163344	-1.246787E-3	2019/05/27  15:13:54.163346	-8.422572E-3
2019/05/27  15:13:54.163348	-1.295067E-3	2019/05/27  15:13:54.163350	-9.388508E-3
2019/05/27  15:13:54.163352	-1.262880E-3	2019/05/27  15:13:54.163354	-6.973667E-3
2019/05/27  15:13:54.163356	-1.295067E-3	2019/05/27  15:13:54.163358	-9.066529E-3
2019/05/27  15:13:54.163360	-1.295067E-3	2019/05/27  15:13:54.163362	-6.973667E-3
2019/05/27  15:13:54.163364	-1.230694E-3	2019/05/27  15:13:54.163366	-9.549497E-3
2019/05/27  15:13:54.163368	-1.246787E-3	2019/05/27  15:13:54.163370	-8.583561E-3
2019/05/27  15:13:54.163372	-1.262880E-3	2019/05/27  15:13:54.163374	-8.100593E-3
2019/05/27  15:13:54.163376	-1.262880E-3	2019/05/27  15:13:54.163378	-1.003247E-2
2019/05/27  15:13:54.163380	-1.343347E-3	2019/05/27  15:13:54.163382	-9.549497E-3
2019/05/27  15:13:54.163384	-1.295067E-3	2019/05/27  15:13:54.163386	-5.524762E-3
2019/05/27  15:13:54.163388	-1.278974E-3	2019/05/27  15:13:54.163390	-8.905540E-3
2019/05/27  15:13:54.163392	-1.262880E-3	2019/05/27  15:13:54.163394	-7.295646E-3
2019/05/27  15:13:54.163396	-1.262880E-3	2019/05/27  15:13:54.163398	-5.685752E-3
2019/05/27  15:13:54.163400	-1.327253E-3	2019/05/27  15:13:54.163402	-7.134656E-3
2019/05/27  15:13:54.163404	-1.278974E-3	2019/05/27  15:13:54.163406	-4.075858E-3
2019/05/27  15:13:54.163408	-1.295067E-3	2019/05/27  15:13:54.163410	-5.524762E-3
2019/05/27  15:13:54.163412	-1.278974E-3	2019/05/27  15:13:54.163414	-8.583561E-3
2019/05/27  15:13:54.163416	-1.295067E-3	2019/05/27  15:13:54.163418	-1.228632E-2
2019/05/27  15:13:54.163420	-1.295067E-3	2019/05/27  15:13:54.163422	-8.583561E-3
2019/05/27  15:13:54.163424	-1.150227E-3	2019/05/27  15:13:54.163426	-9.066529E-3
2019/05/27  15:13:54.163428	-1.295067E-3	2019/05/27  15:13:54.163430	-7.939603E-3
2019/05/27  15:13:54.163432	-1.198507E-3	2019/05/27  15:13:54.163434	-6.812678E-3
