waveform	[0]		[1]	
t0	2019/05/27  16:12:21.321722		2019/05/27  16:12:21.321724	
delta t	4.000000E-6		4.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2019/05/27  16:12:21.321722	-1.365595E-4	2019/05/27  16:12:21.321724	-2.483023E+0
2019/05/27  16:12:21.321726	4.108419E-4	2019/05/27  16:12:21.321728	-2.482701E+0
2019/05/27  16:12:21.321730	-2.331598E-4	2019/05/27  16:12:21.321732	-2.482701E+0
2019/05/27  16:12:21.321734	-3.297600E-4	2019/05/27  16:12:21.321736	-2.482057E+0
2019/05/27  16:12:21.321738	-1.687596E-4	2019/05/27  16:12:21.321740	-2.482701E+0
2019/05/27  16:12:21.321742	-1.365595E-4	2019/05/27  16:12:21.321744	-2.482057E+0
2019/05/27  16:12:21.321746	-3.995926E-5	2019/05/27  16:12:21.321748	-2.481735E+0
2019/05/27  16:12:21.321750	-3.297600E-4	2019/05/27  16:12:21.321752	-2.481574E+0
2019/05/27  16:12:21.321754	-2.009597E-4	2019/05/27  16:12:21.321756	-2.482379E+0
2019/05/27  16:12:21.321758	-7.215934E-5	2019/05/27  16:12:21.321760	-2.482057E+0
2019/05/27  16:12:21.321762	1.854413E-4	2019/05/27  16:12:21.321764	-2.481896E+0
2019/05/27  16:12:21.321766	-1.365595E-4	2019/05/27  16:12:21.321768	-2.482057E+0
2019/05/27  16:12:21.321770	-3.297600E-4	2019/05/27  16:12:21.321772	-2.481735E+0
2019/05/27  16:12:21.321774	2.176414E-4	2019/05/27  16:12:21.321776	-2.482057E+0
2019/05/27  16:12:21.321778	8.884108E-5	2019/05/27  16:12:21.321780	-2.482057E+0
2019/05/27  16:12:21.321782	3.464417E-4	2019/05/27  16:12:21.321784	-2.481896E+0
2019/05/27  16:12:21.321786	1.854413E-4	2019/05/27  16:12:21.321788	-2.481735E+0
2019/05/27  16:12:21.321790	5.664099E-5	2019/05/27  16:12:21.321792	-2.482218E+0
2019/05/27  16:12:21.321794	-7.215934E-5	2019/05/27  16:12:21.321796	-2.482540E+0
2019/05/27  16:12:21.321798	-1.043594E-4	2019/05/27  16:12:21.321800	-2.481574E+0
2019/05/27  16:12:21.321802	-2.653598E-4	2019/05/27  16:12:21.321804	-2.482218E+0
2019/05/27  16:12:21.321806	-2.653598E-4	2019/05/27  16:12:21.321808	-2.481735E+0
2019/05/27  16:12:21.321810	5.664099E-5	2019/05/27  16:12:21.321812	-2.481896E+0
2019/05/27  16:12:21.321814	-1.365595E-4	2019/05/27  16:12:21.321816	-2.481735E+0
2019/05/27  16:12:21.321818	-7.215934E-5	2019/05/27  16:12:21.321820	-2.482379E+0
2019/05/27  16:12:21.321822	-6.195607E-4	2019/05/27  16:12:21.321824	-2.482701E+0
2019/05/27  16:12:21.321826	-1.365595E-4	2019/05/27  16:12:21.321828	-2.481735E+0
2019/05/27  16:12:21.321830	-1.687596E-4	2019/05/27  16:12:21.321832	-2.482540E+0
2019/05/27  16:12:21.321834	1.210412E-4	2019/05/27  16:12:21.321836	-2.482057E+0
2019/05/27  16:12:21.321838	1.532412E-4	2019/05/27  16:12:21.321840	-2.481896E+0
2019/05/27  16:12:21.321842	-1.043594E-4	2019/05/27  16:12:21.321844	-2.481735E+0
2019/05/27  16:12:21.321846	-4.585603E-4	2019/05/27  16:12:21.321848	-2.481574E+0
2019/05/27  16:12:21.321850	-2.009597E-4	2019/05/27  16:12:21.321852	-2.481574E+0
2019/05/27  16:12:21.321854	-2.009597E-4	2019/05/27  16:12:21.321856	-2.482057E+0
2019/05/27  16:12:21.321858	-3.619601E-4	2019/05/27  16:12:21.321860	-2.481896E+0
2019/05/27  16:12:21.321862	-3.995926E-5	2019/05/27  16:12:21.321864	-2.481735E+0
2019/05/27  16:12:21.321866	-2.331598E-4	2019/05/27  16:12:21.321868	-2.481735E+0
2019/05/27  16:12:21.321870	-3.619601E-4	2019/05/27  16:12:21.321872	-2.481574E+0
2019/05/27  16:12:21.321874	-1.687596E-4	2019/05/27  16:12:21.321876	-2.481735E+0
2019/05/27  16:12:21.321878	-5.229605E-4	2019/05/27  16:12:21.321880	-2.482701E+0
2019/05/27  16:12:21.321882	-2.331598E-4	2019/05/27  16:12:21.321884	-2.482057E+0
2019/05/27  16:12:21.321886	-2.009597E-4	2019/05/27  16:12:21.321888	-2.481896E+0
2019/05/27  16:12:21.321890	-1.687596E-4	2019/05/27  16:12:21.321892	-2.482218E+0
2019/05/27  16:12:21.321894	-7.759173E-6	2019/05/27  16:12:21.321896	-2.481896E+0
2019/05/27  16:12:21.321898	-2.975599E-4	2019/05/27  16:12:21.321900	-2.481735E+0
2019/05/27  16:12:21.321902	-4.585603E-4	2019/05/27  16:12:21.321904	-2.482379E+0
2019/05/27  16:12:21.321906	-5.551606E-4	2019/05/27  16:12:21.321908	-2.482057E+0
2019/05/27  16:12:21.321910	-1.687596E-4	2019/05/27  16:12:21.321912	-2.482379E+0
