waveform	[0]		[1]	
t0	2019/05/28  13:08:18.353843		2019/05/28  13:08:18.353844	
delta t	2.000000E-6		2.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2019/05/28  13:08:18.353843	-2.389412E-3	2019/05/28  13:08:18.353844	-7.478179E-3
2019/05/28  13:08:18.353845	-2.534251E-3	2019/05/28  13:08:18.353846	-9.474585E-3
2019/05/28  13:08:18.353847	-2.534251E-3	2019/05/28  13:08:18.353848	-7.381579E-3
2019/05/28  13:08:18.353849	-2.598625E-3	2019/05/28  13:08:18.353850	-8.991583E-3
2019/05/28  13:08:18.353851	-2.566438E-3	2019/05/28  13:08:18.353852	-7.542579E-3
2019/05/28  13:08:18.353853	-2.727371E-3	2019/05/28  13:08:18.353854	-9.538985E-3
2019/05/28  13:08:18.353855	-2.679091E-3	2019/05/28  13:08:18.353856	-8.540782E-3
2019/05/28  13:08:18.353857	-2.823931E-3	2019/05/28  13:08:18.353858	-8.250981E-3
2019/05/28  13:08:18.353859	-2.711278E-3	2019/05/28  13:08:18.353860	-1.205059E-2
2019/05/28  13:08:18.353861	-2.888304E-3	2019/05/28  13:08:18.353862	-7.606979E-3
2019/05/28  13:08:18.353863	-2.904398E-3	2019/05/28  13:08:18.353864	-9.603385E-3
2019/05/28  13:08:18.353865	-2.952677E-3	2019/05/28  13:08:18.353866	-9.442384E-3
2019/05/28  13:08:18.353867	-2.936584E-3	2019/05/28  13:08:18.353868	-8.766183E-3
2019/05/28  13:08:18.353869	-3.065331E-3	2019/05/28  13:08:18.353870	-6.254576E-3
2019/05/28  13:08:18.353871	-3.065331E-3	2019/05/28  13:08:18.353872	-8.508582E-3
2019/05/28  13:08:18.353873	-3.113611E-3	2019/05/28  13:08:18.353874	-1.176079E-2
2019/05/28  13:08:18.353875	-3.049237E-3	2019/05/28  13:08:18.353876	-1.024739E-2
2019/05/28  13:08:18.353877	-3.161890E-3	2019/05/28  13:08:18.353878	-5.868175E-3
2019/05/28  13:08:18.353879	-3.177984E-3	2019/05/28  13:08:18.353880	-8.669582E-3
2019/05/28  13:08:18.353881	-3.258450E-3	2019/05/28  13:08:18.353882	-7.703580E-3
2019/05/28  13:08:18.353883	-3.145797E-3	2019/05/28  13:08:18.353884	-7.832380E-3
2019/05/28  13:08:18.353885	-3.322824E-3	2019/05/28  13:08:18.353886	-1.053719E-2
2019/05/28  13:08:18.353887	-3.306730E-3	2019/05/28  13:08:18.353888	-7.574779E-3
2019/05/28  13:08:18.353889	-3.258450E-3	2019/05/28  13:08:18.353890	-6.898577E-3
2019/05/28  13:08:18.353891	-3.210170E-3	2019/05/28  13:08:18.353892	-1.159979E-2
2019/05/28  13:08:18.353893	-3.338917E-3	2019/05/28  13:08:18.353894	-1.269459E-2
2019/05/28  13:08:18.353895	-3.371104E-3	2019/05/28  13:08:18.353896	-1.079479E-2
2019/05/28  13:08:18.353897	-3.355010E-3	2019/05/28  13:08:18.353898	-1.089139E-2
2019/05/28  13:08:18.353899	-3.226264E-3	2019/05/28  13:08:18.353900	-9.893186E-3
2019/05/28  13:08:18.353901	-3.387197E-3	2019/05/28  13:08:18.353902	-9.699985E-3
2019/05/28  13:08:18.353903	-3.371104E-3	2019/05/28  13:08:18.353904	-1.127779E-2
2019/05/28  13:08:18.353905	-3.355010E-3	2019/05/28  13:08:18.353906	-9.345784E-3
2019/05/28  13:08:18.353907	-3.194077E-3	2019/05/28  13:08:18.353908	-7.832380E-3
2019/05/28  13:08:18.353909	-3.435477E-3	2019/05/28  13:08:18.353910	-8.218781E-3
2019/05/28  13:08:18.353911	-3.338917E-3	2019/05/28  13:08:18.353912	-8.959383E-3
2019/05/28  13:08:18.353913	-3.387197E-3	2019/05/28  13:08:18.353914	-1.002199E-2
2019/05/28  13:08:18.353915	-3.242357E-3	2019/05/28  13:08:18.353916	-8.250981E-3
2019/05/28  13:08:18.353917	-3.419383E-3	2019/05/28  13:08:18.353918	-7.510379E-3
2019/05/28  13:08:18.353919	-3.387197E-3	2019/05/28  13:08:18.353920	-7.800180E-3
2019/05/28  13:08:18.353921	-3.338917E-3	2019/05/28  13:08:18.353922	-9.410184E-3
2019/05/28  13:08:18.353923	-3.242357E-3	2019/05/28  13:08:18.353924	-1.169639E-2
2019/05/28  13:08:18.353925	-3.306730E-3	2019/05/28  13:08:18.353926	-7.381579E-3
2019/05/28  13:08:18.353927	-3.306730E-3	2019/05/28  13:08:18.353928	-9.635585E-3
2019/05/28  13:08:18.353929	-3.258450E-3	2019/05/28  13:08:18.353930	-1.040839E-2
2019/05/28  13:08:18.353931	-3.258450E-3	2019/05/28  13:08:18.353932	-1.089139E-2
2019/05/28  13:08:18.353933	-3.322824E-3	2019/05/28  13:08:18.353934	-1.002199E-2
2019/05/28  13:08:18.353935	-3.290637E-3	2019/05/28  13:08:18.353936	-9.474585E-3
2019/05/28  13:08:18.353937	-3.194077E-3	2019/05/28  13:08:18.353938	-7.671380E-3
2019/05/28  13:08:18.353939	-3.210170E-3	2019/05/28  13:08:18.353940	-8.991583E-3
2019/05/28  13:08:18.353941	-3.194077E-3	2019/05/28  13:08:18.353942	-9.538985E-3
2019/05/28  13:08:18.353943	-3.145797E-3	2019/05/28  13:08:18.353944	-6.544376E-3
