waveform	[0]		[1]	
t0	2019/05/28  13:56:41.595899		2019/05/28  13:56:41.595901	
delta t	4.000000E-6		4.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2019/05/28  13:56:41.595899	-6.490699E-3	2019/05/28  13:56:41.595901	1.556485E-2
2019/05/28  13:56:41.595903	-3.753879E-3	2019/05/28  13:56:41.595905	1.475990E-2
2019/05/28  13:56:41.595907	-4.880805E-3	2019/05/28  13:56:41.595909	1.556485E-2
2019/05/28  13:56:41.595911	-4.075858E-3	2019/05/28  13:56:41.595913	1.315001E-2
2019/05/28  13:56:41.595915	-4.880805E-3	2019/05/28  13:56:41.595917	1.379396E-2
2019/05/28  13:56:41.595919	-5.363773E-3	2019/05/28  13:56:41.595921	1.154011E-2
2019/05/28  13:56:41.595923	-5.363773E-3	2019/05/28  13:56:41.595925	1.154011E-2
2019/05/28  13:56:41.595927	-4.558826E-3	2019/05/28  13:56:41.595929	1.379396E-2
2019/05/28  13:56:41.595931	-4.558826E-3	2019/05/28  13:56:41.595933	1.282803E-2
2019/05/28  13:56:41.595935	-6.651688E-3	2019/05/28  13:56:41.595937	1.121813E-2
2019/05/28  13:56:41.595939	-5.363773E-3	2019/05/28  13:56:41.595941	1.379396E-2
2019/05/28  13:56:41.595943	-5.363773E-3	2019/05/28  13:56:41.595945	1.186209E-2
2019/05/28  13:56:41.595947	-5.363773E-3	2019/05/28  13:56:41.595949	1.234506E-2
2019/05/28  13:56:41.595951	-5.846741E-3	2019/05/28  13:56:41.595953	9.930219E-3
2019/05/28  13:56:41.595955	-5.202784E-3	2019/05/28  13:56:41.595957	1.250605E-2
2019/05/28  13:56:41.595959	-4.558826E-3	2019/05/28  13:56:41.595961	1.459891E-2
2019/05/28  13:56:41.595963	-4.880805E-3	2019/05/28  13:56:41.595965	1.218407E-2
2019/05/28  13:56:41.595967	-8.100593E-3	2019/05/28  13:56:41.595969	1.315001E-2
2019/05/28  13:56:41.595971	-5.202784E-3	2019/05/28  13:56:41.595973	1.749672E-2
2019/05/28  13:56:41.595975	-5.363773E-3	2019/05/28  13:56:41.595977	1.443792E-2
2019/05/28  13:56:41.595979	-5.363773E-3	2019/05/28  13:56:41.595981	1.170110E-2
2019/05/28  13:56:41.595983	-7.134656E-3	2019/05/28  13:56:41.595985	1.379396E-2
2019/05/28  13:56:41.595987	-3.270911E-3	2019/05/28  13:56:41.595989	1.298902E-2
2019/05/28  13:56:41.595991	-3.270911E-3	2019/05/28  13:56:41.595993	1.524287E-2
2019/05/28  13:56:41.595995	-5.524762E-3	2019/05/28  13:56:41.595997	1.170110E-2
2019/05/28  13:56:41.595999	-4.397837E-3	2019/05/28  13:56:41.596001	1.427693E-2
2019/05/28  13:56:41.596003	-5.041794E-3	2019/05/28  13:56:41.596005	9.930219E-3
2019/05/28  13:56:41.596007	-4.397837E-3	2019/05/28  13:56:41.596009	1.121813E-2
2019/05/28  13:56:41.596011	-6.168720E-3	2019/05/28  13:56:41.596013	1.041319E-2
2019/05/28  13:56:41.596015	-4.719815E-3	2019/05/28  13:56:41.596017	1.298902E-2
2019/05/28  13:56:41.596019	-5.846741E-3	2019/05/28  13:56:41.596021	1.395495E-2
2019/05/28  13:56:41.596023	-3.914868E-3	2019/05/28  13:56:41.596025	1.733573E-2
2019/05/28  13:56:41.596027	-5.685752E-3	2019/05/28  13:56:41.596029	1.427693E-2
2019/05/28  13:56:41.596031	-4.075858E-3	2019/05/28  13:56:41.596033	1.315001E-2
2019/05/28  13:56:41.596035	-3.109921E-3	2019/05/28  13:56:41.596037	1.266704E-2
2019/05/28  13:56:41.596039	-4.719815E-3	2019/05/28  13:56:41.596041	1.347199E-2
2019/05/28  13:56:41.596043	-4.397837E-3	2019/05/28  13:56:41.596045	1.363298E-2
2019/05/28  13:56:41.596047	-3.270911E-3	2019/05/28  13:56:41.596049	1.009121E-2
2019/05/28  13:56:41.596051	-5.202784E-3	2019/05/28  13:56:41.596053	1.395495E-2
2019/05/28  13:56:41.596055	-6.168720E-3	2019/05/28  13:56:41.596057	1.315001E-2
2019/05/28  13:56:41.596059	-4.558826E-3	2019/05/28  13:56:41.596061	1.347199E-2
2019/05/28  13:56:41.596063	-5.041794E-3	2019/05/28  13:56:41.596065	1.154011E-2
2019/05/28  13:56:41.596067	-5.041794E-3	2019/05/28  13:56:41.596069	1.411594E-2
2019/05/28  13:56:41.596071	-4.397837E-3	2019/05/28  13:56:41.596073	1.218407E-2
