waveform	[0]		[1]	
t0	2019/05/28  13:28:47.496146		2019/05/28  13:28:47.496147	
delta t	2.000000E-6		2.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2019/05/28  13:28:47.496146	1.475990E-2	2019/05/28  13:28:47.496147	3.490644E-3
2019/05/28  13:28:47.496148	1.266704E-2	2019/05/28  13:28:47.496149	3.973612E-3
2019/05/28  13:28:47.496150	1.459891E-2	2019/05/28  13:28:47.496151	4.456580E-3
2019/05/28  13:28:47.496152	1.379396E-2	2019/05/28  13:28:47.496153	4.456580E-3
2019/05/28  13:28:47.496154	1.524287E-2	2019/05/28  13:28:47.496155	4.456580E-3
2019/05/28  13:28:47.496156	1.009121E-2	2019/05/28  13:28:47.496157	4.617570E-3
2019/05/28  13:28:47.496158	1.588683E-2	2019/05/28  13:28:47.496159	4.617570E-3
2019/05/28  13:28:47.496160	1.475990E-2	2019/05/28  13:28:47.496161	5.583506E-3
2019/05/28  13:28:47.496162	1.685276E-2	2019/05/28  13:28:47.496163	5.261527E-3
2019/05/28  13:28:47.496164	1.105715E-2	2019/05/28  13:28:47.496165	4.778559E-3
2019/05/28  13:28:47.496166	1.057418E-2	2019/05/28  13:28:47.496167	5.744495E-3
2019/05/28  13:28:47.496168	1.379396E-2	2019/05/28  13:28:47.496169	5.261527E-3
2019/05/28  13:28:47.496170	9.930219E-3	2019/05/28  13:28:47.496171	5.583506E-3
2019/05/28  13:28:47.496172	8.803294E-3	2019/05/28  13:28:47.496173	5.744495E-3
2019/05/28  13:28:47.496174	1.089616E-2	2019/05/28  13:28:47.496175	5.744495E-3
2019/05/28  13:28:47.496176	1.250605E-2	2019/05/28  13:28:47.496177	5.905485E-3
2019/05/28  13:28:47.496178	1.154011E-2	2019/05/28  13:28:47.496179	6.066474E-3
2019/05/28  13:28:47.496180	1.266704E-2	2019/05/28  13:28:47.496181	6.549442E-3
2019/05/28  13:28:47.496182	1.009121E-2	2019/05/28  13:28:47.496183	6.066474E-3
2019/05/28  13:28:47.496184	1.202308E-2	2019/05/28  13:28:47.496185	6.710432E-3
2019/05/28  13:28:47.496186	1.524287E-2	2019/05/28  13:28:47.496187	6.871421E-3
2019/05/28  13:28:47.496188	1.234506E-2	2019/05/28  13:28:47.496189	6.549442E-3
2019/05/28  13:28:47.496190	1.234506E-2	2019/05/28  13:28:47.496191	6.871421E-3
2019/05/28  13:28:47.496192	1.266704E-2	2019/05/28  13:28:47.496193	7.193400E-3
2019/05/28  13:28:47.496194	1.556485E-2	2019/05/28  13:28:47.496195	7.354389E-3
2019/05/28  13:28:47.496196	1.298902E-2	2019/05/28  13:28:47.496197	7.193400E-3
2019/05/28  13:28:47.496198	1.331100E-2	2019/05/28  13:28:47.496199	7.676368E-3
2019/05/28  13:28:47.496200	1.170110E-2	2019/05/28  13:28:47.496201	7.676368E-3
2019/05/28  13:28:47.496202	1.508188E-2	2019/05/28  13:28:47.496203	7.515379E-3
2019/05/28  13:28:47.496204	1.170110E-2	2019/05/28  13:28:47.496205	7.998347E-3
2019/05/28  13:28:47.496206	1.315001E-2	2019/05/28  13:28:47.496207	8.320326E-3
2019/05/28  13:28:47.496208	1.170110E-2	2019/05/28  13:28:47.496209	7.998347E-3
2019/05/28  13:28:47.496210	1.154011E-2	2019/05/28  13:28:47.496211	8.159336E-3
2019/05/28  13:28:47.496212	1.218407E-2	2019/05/28  13:28:47.496213	8.481315E-3
2019/05/28  13:28:47.496214	1.475990E-2	2019/05/28  13:28:47.496215	8.642304E-3
2019/05/28  13:28:47.496216	1.282803E-2	2019/05/28  13:28:47.496217	8.320326E-3
